PUNTO;ESTADO;REGION;BOTELLONES;VENTA;FECHA
GAIRA;Inactivo;MAGDALENA;2;9000;2023-01-31 19:24:48.490
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-01-31 19:45:08.313
YUCAL;Activo;MAGDALENA;3;13500;2023-01-31 20:00:21.910
BOKOBA;Inactivo;ATLANTICO;8,75;39375;2023-02-01 07:16:11.790
FERROCARRIL;Activo;MAGDALENA;2;9000;2023-02-01 07:20:54.070
PESCAITO;Inactivo;MAGDALENA;1;4500;2023-02-01 07:39:30.577
ARJONA;Activo;BOLIVAR;17;76500;2023-02-01 07:44:38.243
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;4,25;19125;2023-02-01 08:00:44.227
MARIA AUXILIADORA;Activo;ATLANTICO;58,75;264375;2023-02-01 08:00:51.563
DELICIAS;Inactivo;MAGDALENA;1;4500;2023-02-01 08:11:59.313
JARDIN;Activo;MAGDALENA;10;45000;2023-02-01 08:21:47.690
GALICIA;Activo;MAGDALENA;4,25;19125;2023-02-01 08:45:00.980
DON LEON;Activo;ATLANTICO;51;229500;2023-02-01 09:04:01.653
EDS EL RIO;Activo;MAGDALENA;12;54000;2023-02-01 09:29:16.010
YUCAL;Activo;MAGDALENA;0;0;2023-02-01 09:49:09.370
3K;Activo;ATLANTICO;61,25;275625;2023-02-01 09:59:16.560
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-01 10:19:14.753
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;3;13500;2023-02-01 10:32:13.950
UNIMAGDALENA;Activo;MAGDALENA;3;13500;2023-02-01 10:45:16.687
DON ROBERTO;Activo;ATLANTICO;71,25;320625;2023-02-01 11:51:26.833
MARBELLA;Activo;BOLIVAR;6;32400;2023-02-01 12:15:18.927
PORVENIR;Activo;ATLANTICO;34,25;154125;2023-02-01 13:16:34.917
MANZANARES;Activo;MAGDALENA;4;18000;2023-02-01 13:25:39.217
CIUDADELA;Activo;MAGDALENA;4;18000;2023-02-01 13:58:17.397
GRANJA 2;Activo;BOLIVAR;33;165000;2023-02-01 14:25:39.667
GRANJA;Activo;BOLIVAR;114,25;514125;2023-02-01 14:28:53.710
PUERTO COLOMBIA;Activo;ATLANTICO;19,5;87750;2023-02-01 14:42:10.607
ALTOS PLAN PAREJO;Activo;BOLIVAR;44,5;200250;2023-02-01 14:53:28.863
PLAN PAREJO;Inactivo;BOLIVAR;20;90000;2023-02-01 15:05:10.060
GAIRA;Inactivo;MAGDALENA;0;0;2023-02-01 15:22:20.483
EL REY;Activo;ATLANTICO;50,5;227250;2023-02-01 16:24:40.077
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;64;288000;2023-02-01 16:36:25.973
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;46;230000;2023-02-01 16:56:29.387
BOKOBA;Inactivo;ATLANTICO;9;40500;2023-02-02 07:15:48.260
ARJONA;Activo;BOLIVAR;14,5;65250;2023-02-02 07:51:56.583
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;22,5;101250;2023-02-02 08:00:38.783
GALICIA;Activo;MAGDALENA;16,25;73125;2023-02-02 08:07:09.953
MARIA AUXILIADORA;Activo;ATLANTICO;42,25;190125;2023-02-02 08:11:29.383
JARDIN;Activo;MAGDALENA;24,25;109125;2023-02-02 08:24:36.750
PESCAITO;Inactivo;MAGDALENA;10;45000;2023-02-02 08:53:40.793
DELICIAS;Inactivo;MAGDALENA;4;18000;2023-02-02 09:07:02.320
DON LEON;Activo;ATLANTICO;50,5;227250;2023-02-02 09:18:38.487
UNIMAGDALENA;Activo;MAGDALENA;5,25;23625;2023-02-02 09:28:08.830
3K;Activo;ATLANTICO;56;252000;2023-02-02 09:52:24.603
FERROCARRIL;Activo;MAGDALENA;8;36000;2023-02-02 10:08:14.320
CIUDADELA;Activo;MAGDALENA;2;9000;2023-02-02 11:18:09.237
EL REY;Activo;ATLANTICO;22,25;100125;2023-02-02 12:13:48.287
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;40,25;181125;2023-02-02 13:07:59.327
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;102;459000;2023-02-02 13:14:28.213
PUERTO COLOMBIA;Activo;ATLANTICO;19;85500;2023-02-02 13:45:31.677
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;82;410000;2023-02-02 14:11:15.973
PLAN PAREJO;Inactivo;BOLIVAR;2,5;11250;2023-02-02 14:14:51.500
GRANJA;Activo;BOLIVAR;74;333000;2023-02-02 14:25:48.290
MANZANARES;Activo;MAGDALENA;4;18000;2023-02-02 14:34:30.847
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-02 14:54:09.950
DON ROBERTO;Activo;ATLANTICO;69,75;313875;2023-02-02 15:10:17.420
EDS EL RIO;Activo;MAGDALENA;1;4500;2023-02-02 15:53:22.600
PORVENIR;Activo;ATLANTICO;33,5;150750;2023-02-02 16:05:39.403
ALCAZARES;Inactivo;MAGDALENA;2;9000;2023-02-02 16:15:32.240
GRANJA 2;Activo;BOLIVAR;16;80000;2023-02-02 16:38:07.257
CRUZ;Activo;BOLIVAR;44;198000;2023-02-02 16:59:24.253
TURBACO;Activo;BOLIVAR;73,25;329625;2023-02-02 17:20:12.550
GAIRA;Inactivo;MAGDALENA;0;0;2023-02-02 17:22:15.790
YUCAL;Activo;MAGDALENA;7,25;32625;2023-02-02 18:07:36.853
BOKOBA;Inactivo;ATLANTICO;8,25;37125;2023-02-03 07:14:26.370
GALICIA;Activo;MAGDALENA;15;67500;2023-02-03 07:21:58.980
JARDIN;Activo;MAGDALENA;21,75;97875;2023-02-03 08:00:16.013
MARIA AUXILIADORA;Activo;ATLANTICO;42,5;191250;2023-02-03 08:07:18.637
PESCAITO;Inactivo;MAGDALENA;10;45000;2023-02-03 08:25:13.277
DELICIAS;Inactivo;MAGDALENA;1;4500;2023-02-03 08:36:36.563
ALCAZARES;Inactivo;MAGDALENA;2,75;12375;2023-02-03 08:49:11.400
FERROCARRIL;Activo;MAGDALENA;7;31500;2023-02-03 09:04:03.660
DON LEON;Activo;ATLANTICO;38,75;174375;2023-02-03 09:07:58.710
MANZANARES;Activo;MAGDALENA;0;0;2023-02-03 09:16:13.977
3K;Activo;ATLANTICO;64,25;289125;2023-02-03 09:33:03.863
GAIRA;Inactivo;MAGDALENA;0;0;2023-02-03 09:48:47.590
GRANJA;Activo;BOLIVAR;58;261000;2023-02-03 10:25:05.593
GRANJA 2;Activo;BOLIVAR;21;105000;2023-02-03 10:27:51.117
EL REY;Activo;ATLANTICO;28;126000;2023-02-03 11:00:50.620
PLAN PAREJO;Inactivo;BOLIVAR;7;31500;2023-02-03 11:05:52.210
CRUZ;Activo;BOLIVAR;5;22500;2023-02-03 11:15:54.503
TURBACO;Activo;BOLIVAR;15,75;70875;2023-02-03 11:27:04.263
EDS EL RIO;Activo;MAGDALENA;6,25;28125;2023-02-03 11:27:17.130
PORVENIR;Activo;ATLANTICO;20,5;92250;2023-02-03 11:28:47.613
DON ROBERTO;Activo;ATLANTICO;41;184500;2023-02-03 12:07:20.370
CIUDADELA;Activo;MAGDALENA;3;13500;2023-02-03 12:44:48.880
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;74;333000;2023-02-03 12:58:26.563
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;7;31500;2023-02-03 13:01:14.163
UNIMAGDALENA;Activo;MAGDALENA;5,25;23625;2023-02-03 13:03:47.743
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;46;230000;2023-02-03 13:07:07.033
PANDO;Inactivo;MAGDALENA;2,75;12375;2023-02-03 13:41:30.023
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-03 14:55:53.693
YUCAL;Activo;MAGDALENA;5;22500;2023-02-03 15:09:45.377
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;18,5;83250;2023-02-03 16:11:54.367
ARJONA;Activo;BOLIVAR;27,5;123750;2023-02-03 16:20:50.320
PESCAITO;Inactivo;MAGDALENA;22;99000;2023-02-05 06:03:47.450
DELICIAS;Inactivo;MAGDALENA;4;18000;2023-02-05 06:10:51.063
JARDIN;Activo;MAGDALENA;48;216000;2023-02-05 06:21:46.383
GALICIA;Activo;MAGDALENA;35,25;158625;2023-02-05 06:34:39.007
BOKOBA;Inactivo;ATLANTICO;13;58500;2023-02-05 07:11:44.423
ALCAZARES;Inactivo;MAGDALENA;1,75;7875;2023-02-05 07:15:35.910
FERROCARRIL;Activo;MAGDALENA;9,75;43875;2023-02-05 07:25:34.963
ARJONA;Activo;BOLIVAR;16;72000;2023-02-05 07:37:53.547
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;11;49500;2023-02-05 07:45:43.377
MARIA AUXILIADORA;Activo;ATLANTICO;56;252000;2023-02-05 07:58:28.370
GRANJA;Activo;BOLIVAR;146,25;658125;2023-02-05 08:25:59.573
DON LEON;Activo;ATLANTICO;66,5;299250;2023-02-05 09:09:30.760
MANZANARES;Activo;MAGDALENA;9,25;41625;2023-02-05 09:30:35.853
PLAN PAREJO;Inactivo;BOLIVAR;4;18000;2023-02-05 09:49:37.850
PANDO;Inactivo;MAGDALENA;1;4500;2023-02-05 09:50:13.333
CIUDADELA;Activo;MAGDALENA;2;9000;2023-02-05 10:04:44.860
UNIMAGDALENA;Activo;MAGDALENA;5,5;24750;2023-02-05 10:12:35.100
DON ROBERTO;Activo;ATLANTICO;130,5;587250;2023-02-05 10:33:58.947
PORVENIR;Activo;ATLANTICO;55,75;250875;2023-02-05 11:32:35.407
EDS EL RIO;Activo;MAGDALENA;30;135000;2023-02-05 12:44:59.457
3K;Activo;ATLANTICO;82,25;370125;2023-02-05 13:29:25.023
EL REY;Activo;ATLANTICO;92;414000;2023-02-05 14:19:20.347
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;36,75;165375;2023-02-05 14:21:20.837
YUCAL;Activo;MAGDALENA;4;18000;2023-02-05 14:48:40.960
CIUDAD DEL SOL;Inactivo;MAGDALENA;1;4500;2023-02-05 15:01:51.073
CRUZ;Activo;BOLIVAR;54,75;246375;2023-02-05 15:02:24.323
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;117;526500;2023-02-05 15:09:55.590
GAIRA;Inactivo;MAGDALENA;4;18000;2023-02-05 15:15:09.863
TURBACO;Activo;BOLIVAR;62;279000;2023-02-05 16:08:22.597
PUERTO COLOMBIA;Activo;ATLANTICO;61,5;276750;2023-02-05 16:19:27.597
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;54;270000;2023-02-05 16:38:00.590
PESCAITO;Inactivo;MAGDALENA;9;40500;2023-02-06 06:03:59.953
DELICIAS;Inactivo;MAGDALENA;1;4500;2023-02-06 06:11:20.933
JARDIN;Activo;MAGDALENA;29,75;133875;2023-02-06 06:24:20.597
GALICIA;Activo;MAGDALENA;17,75;79875;2023-02-06 06:34:42.970
BOKOBA;Inactivo;ATLANTICO;9,5;42750;2023-02-06 07:18:02.267
ARJONA;Activo;BOLIVAR;12;54000;2023-02-06 07:39:43.720
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;18;81000;2023-02-06 07:46:25.190
EDS EL RIO;Activo;MAGDALENA;13;58500;2023-02-06 08:00:52.597
MARIA AUXILIADORA;Activo;ATLANTICO;79,5;357750;2023-02-06 08:09:16.657
UNIMAGDALENA;Activo;MAGDALENA;14;63000;2023-02-06 08:19:01.060
CIUDADELA;Activo;MAGDALENA;2;9000;2023-02-06 08:37:22.120
PANDO;Inactivo;MAGDALENA;0;0;2023-02-06 08:50:05.123
MANZANARES;Activo;MAGDALENA;6;27000;2023-02-06 09:01:01.560
DON LEON;Activo;ATLANTICO;45,25;203625;2023-02-06 09:24:33.130
FERROCARRIL;Activo;MAGDALENA;6,25;28125;2023-02-06 09:29:02.827
ALCAZARES;Inactivo;MAGDALENA;2;9000;2023-02-06 10:59:00.410
3K;Activo;ATLANTICO;85,5;384750;2023-02-06 11:15:07.013
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-06 11:21:44.647
YUCAL;Activo;MAGDALENA;4;18000;2023-02-06 11:30:24.773
GRANJA;Activo;BOLIVAR;76,5;344250;2023-02-06 11:30:51.333
ALTOS PLAN PAREJO;Activo;BOLIVAR;164,25;739125;2023-02-06 12:19:54.367
PLAN PAREJO;Inactivo;BOLIVAR;10;45000;2023-02-06 12:28:39.813
PORVENIR;Activo;ATLANTICO;35,5;159750;2023-02-06 12:51:45.040
DON ROBERTO;Activo;ATLANTICO;82,25;370125;2023-02-06 13:44:21.730
EL REY;Activo;ATLANTICO;40,75;183375;2023-02-06 14:32:15.633
GAIRA;Inactivo;MAGDALENA;1;4500;2023-02-06 14:43:44.147
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;14;63000;2023-02-06 15:06:02.927
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;126;567000;2023-02-06 16:06:19.617
PUERTO COLOMBIA;Activo;ATLANTICO;21,5;96750;2023-02-06 16:33:13.330
TURBACO;Activo;BOLIVAR;6,25;28125;2023-02-06 16:37:03.760
CRUZ;Activo;BOLIVAR;67,75;304875;2023-02-06 16:43:32.923
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;66;330000;2023-02-06 16:56:04.523
FERROCARRIL;Activo;MAGDALENA;6,25;28125;2023-02-07 07:02:18.350
BOKOBA;Inactivo;ATLANTICO;10,25;46125;2023-02-07 07:15:27.880
ALCAZARES;Inactivo;MAGDALENA;1;4500;2023-02-07 07:23:33.273
MANZANARES;Activo;MAGDALENA;5,25;23625;2023-02-07 07:37:38.077
ARJONA;Activo;BOLIVAR;14,25;64125;2023-02-07 07:41:03.163
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;10,5;47250;2023-02-07 07:51:43.290
MARIA AUXILIADORA;Activo;ATLANTICO;73,5;330750;2023-02-07 07:54:17.817
GAIRA;Inactivo;MAGDALENA;2;9000;2023-02-07 08:03:59.840
CIUDAD DEL SOL;Inactivo;MAGDALENA;1;4500;2023-02-07 08:23:18.010
UNIMAGDALENA;Activo;MAGDALENA;3,25;14625;2023-02-07 08:33:58.040
PANDO;Inactivo;MAGDALENA;0;0;2023-02-07 08:47:46.173
DON LEON;Activo;ATLANTICO;66,5;299250;2023-02-07 09:15:04.017
PESCAITO;Inactivo;MAGDALENA;17;76500;2023-02-07 09:24:29.453
DELICIAS;Inactivo;MAGDALENA;0;0;2023-02-07 09:39:07.430
JARDIN;Activo;MAGDALENA;43,75;196875;2023-02-07 09:59:41.963
GALICIA;Activo;MAGDALENA;15;67500;2023-02-07 10:10:23.180
CRUZ;Activo;BOLIVAR;34,5;155250;2023-02-07 10:13:55.127
EDS EL RIO;Activo;MAGDALENA;21;94500;2023-02-07 10:28:25.993
CIUDADELA;Activo;MAGDALENA;11;49500;2023-02-07 11:01:49.177
PLAN PAREJO;Inactivo;BOLIVAR;9;40500;2023-02-07 11:05:16.327
ALTOS PLAN PAREJO;Activo;BOLIVAR;36,5;164250;2023-02-07 11:32:05.700
3K;Activo;ATLANTICO;52;234000;2023-02-07 11:42:51.387
GRANJA;Activo;BOLIVAR;105,75;475875;2023-02-07 13:03:13.380
EL REY;Activo;ATLANTICO;32,25;145125;2023-02-07 13:25:53.513
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;17;76500;2023-02-07 14:29:57.427
PORVENIR;Activo;ATLANTICO;29,25;131625;2023-02-07 14:37:37.380
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;154;693000;2023-02-07 14:57:11.127
DON ROBERTO;Activo;ATLANTICO;63,5;285750;2023-02-07 15:30:01.387
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;31;155000;2023-02-07 16:55:09.547
CIUDADELA;Activo;MAGDALENA;0,5;2250;2023-02-08 07:15:13.763
BOKOBA;Inactivo;ATLANTICO;8;36000;2023-02-08 07:18:35.850
PANDO;Inactivo;MAGDALENA;0,5;2250;2023-02-08 07:26:39.643
UNIMAGDALENA;Activo;MAGDALENA;14,25;64125;2023-02-08 07:54:47.147
MARIA AUXILIADORA;Activo;ATLANTICO;60;270000;2023-02-08 08:05:14.557
EDS EL RIO;Activo;MAGDALENA;10;45000;2023-02-08 08:32:39.677
DON LEON;Activo;ATLANTICO;30;135000;2023-02-08 09:13:38.010
CRUZ;Activo;BOLIVAR;56,25;253125;2023-02-08 09:14:25.227
GALICIA;Activo;MAGDALENA;0;0;2023-02-08 09:31:35.087
JARDIN;Activo;MAGDALENA;24;108000;2023-02-08 09:44:13.790
PORVENIR;Activo;ATLANTICO;29,75;133875;2023-02-08 09:52:39.780
PESCAITO;Inactivo;MAGDALENA;15;67500;2023-02-08 10:15:12.410
FERROCARRIL;Activo;MAGDALENA;6,5;29250;2023-02-08 10:24:52.640
PUERTO COLOMBIA;Activo;ATLANTICO;39,75;178875;2023-02-08 11:01:39.430
MANZANARES;Activo;MAGDALENA;4;18000;2023-02-08 11:40:06.067
GAIRA;Inactivo;MAGDALENA;3,25;14625;2023-02-08 11:56:07.400
GRANJA;Activo;BOLIVAR;114,25;514125;2023-02-08 11:58:12.713
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;12;54000;2023-02-08 12:25:00.257
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-08 12:26:43.113
PLAN PAREJO;Inactivo;BOLIVAR;4;18000;2023-02-08 12:46:48.547
GRANJA 2;Activo;BOLIVAR;11;55000;2023-02-08 13:42:13.760
DON ROBERTO;Activo;ATLANTICO;37,5;168750;2023-02-08 13:56:51.580
ALTOS PLAN PAREJO;Activo;BOLIVAR;53,25;239625;2023-02-08 14:08:09.163
YUCAL;Activo;MAGDALENA;5,5;24750;2023-02-08 14:13:37.873
ALCAZARES;Inactivo;MAGDALENA;0,5;2250;2023-02-08 14:43:45.540
EL REY;Activo;ATLANTICO;42,5;191250;2023-02-08 14:44:07.007
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;77;346500;2023-02-08 15:38:08.203
3K;Activo;ATLANTICO;99,25;446625;2023-02-08 15:43:40.017
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;23,5;105750;2023-02-08 16:13:50.657
ARJONA;Activo;BOLIVAR;26,25;118125;2023-02-08 16:23:48.973
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;78;390000;2023-02-08 17:26:26.893
PESCAITO;Inactivo;MAGDALENA;8;36000;2023-02-09 06:04:14.883
DELICIAS;Inactivo;MAGDALENA;2;9000;2023-02-09 06:09:42.817
JARDIN;Activo;MAGDALENA;11;49500;2023-02-09 06:20:07.173
EDS EL RIO;Activo;MAGDALENA;3;13500;2023-02-09 06:33:04.660
CIUDADELA;Activo;MAGDALENA;3;13500;2023-02-09 07:07:05.010
PANDO;Inactivo;MAGDALENA;2;9000;2023-02-09 07:15:16.783
MARIA AUXILIADORA;Activo;ATLANTICO;47;211500;2023-02-09 07:16:05.457
UNIMAGDALENA;Activo;MAGDALENA;2;9000;2023-02-09 07:27:56.733
ARJONA;Activo;BOLIVAR;7,5;33750;2023-02-09 07:38:37.670
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;5,5;24750;2023-02-09 07:50:59.203
DON LEON;Activo;ATLANTICO;42,25;190125;2023-02-09 08:10:06.460
GAIRA;Inactivo;MAGDALENA;0;0;2023-02-09 08:47:51.470
MANZANARES;Activo;MAGDALENA;3;13500;2023-02-09 09:07:22.370
3K;Activo;ATLANTICO;15,5;69750;2023-02-09 09:30:38.333
FERROCARRIL;Activo;MAGDALENA;6;27000;2023-02-09 09:40:20.787
ALCAZARES;Inactivo;MAGDALENA;8,5;38250;2023-02-09 10:18:31.757
EL REY;Activo;ATLANTICO;15,25;68625;2023-02-09 10:19:25.427
YUCAL;Activo;MAGDALENA;2;9000;2023-02-09 11:04:05.503
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-09 11:14:32.847
GRANJA;Activo;BOLIVAR;89;400500;2023-02-09 11:22:25.087
CRUZ;Activo;BOLIVAR;29,5;132750;2023-02-09 12:07:08.300
PORVENIR;Activo;ATLANTICO;32;144000;2023-02-09 12:40:46.113
DON ROBERTO;Activo;ATLANTICO;53;238500;2023-02-09 13:17:22.227
MARBELLA;Activo;BOLIVAR;61,75;333450;2023-02-09 13:55:07.023
GALICIA;Activo;MAGDALENA;8;36000;2023-02-09 13:59:41.530
ALTOS PLAN PAREJO;Activo;BOLIVAR;44,75;201375;2023-02-09 14:24:43.260
PLAN PAREJO;Inactivo;BOLIVAR;18,5;83250;2023-02-09 14:36:15.163
PUERTO COLOMBIA;Activo;ATLANTICO;26,25;118125;2023-02-09 15:11:38.967
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;86;430000;2023-02-09 15:17:50.203
GRANJA 2;Activo;BOLIVAR;20;100000;2023-02-09 15:28:12.073
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;115;517500;2023-02-09 16:57:34.087
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;41;184500;2023-02-09 16:59:32.243
EDS EL RIO;Activo;MAGDALENA;15;67500;2023-02-10 07:31:56.680
JARDIN;Activo;MAGDALENA;21,5;96750;2023-02-10 07:56:12.283
BOKOBA;Inactivo;ATLANTICO;14;63000;2023-02-10 08:07:27.860
GALICIA;Activo;MAGDALENA;3;13500;2023-02-10 08:09:18.707
MARIA AUXILIADORA;Activo;ATLANTICO;36;162000;2023-02-10 08:43:10.873
PESCAITO;Inactivo;MAGDALENA;9;40500;2023-02-10 08:52:43.833
ALCAZARES;Inactivo;MAGDALENA;3;13500;2023-02-10 09:15:14.547
FERROCARRIL;Activo;MAGDALENA;12;54000;2023-02-10 09:23:34.713
ALTOS PLAN PAREJO;Activo;BOLIVAR;20,5;92250;2023-02-10 09:33:20.307
PLAN PAREJO;Inactivo;BOLIVAR;15;67500;2023-02-10 09:45:11.263
CRUZ;Activo;BOLIVAR;21;94500;2023-02-10 10:00:09.937
MANZANARES;Activo;MAGDALENA;3;13500;2023-02-10 10:02:29.973
PANDO;Inactivo;MAGDALENA;0;0;2023-02-10 10:14:13.033
DON LEON;Activo;ATLANTICO;49,5;222750;2023-02-10 10:31:39.210
CIUDADELA;Activo;MAGDALENA;8,25;37125;2023-02-10 10:36:03.017
UNIMAGDALENA;Activo;MAGDALENA;4,5;20250;2023-02-10 10:44:53.343
GRANJA;Activo;BOLIVAR;98;441000;2023-02-10 11:11:24.540
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;1;4500;2023-02-10 11:21:05.150
3K;Activo;ATLANTICO;44,75;201375;2023-02-10 11:25:22.803
GAIRA;Inactivo;MAGDALENA;5;22500;2023-02-10 11:57:28.863
EL REY;Activo;ATLANTICO;32;144000;2023-02-10 12:03:52.307
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-10 12:16:41.063
YUCAL;Activo;MAGDALENA;9,25;41625;2023-02-10 12:27:15.977
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;97;436500;2023-02-10 13:29:09.273
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;48;240000;2023-02-10 13:56:17.190
PORVENIR;Activo;ATLANTICO;22,5;101250;2023-02-10 14:06:53.577
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;21,25;95625;2023-02-10 17:04:23.543
ARJONA;Activo;BOLIVAR;16,5;74250;2023-02-10 17:11:33.390
DON ROBERTO;Activo;ATLANTICO;65;292500;2023-02-10 17:29:13.037
PESCAITO;Inactivo;MAGDALENA;12;54000;2023-02-12 06:08:22.960
JARDIN;Activo;MAGDALENA;38,5;173250;2023-02-12 06:28:34.753
GALICIA;Activo;MAGDALENA;34,25;154125;2023-02-12 06:41:59.210
BOKOBA;Inactivo;ATLANTICO;15,5;69750;2023-02-12 06:52:04.913
ALCAZARES;Inactivo;MAGDALENA;17,5;78750;2023-02-12 07:14:13.033
FERROCARRIL;Activo;MAGDALENA;13;58500;2023-02-12 07:39:24.553
ARJONA;Activo;BOLIVAR;14;63000;2023-02-12 07:55:46.340
EDS EL RIO;Activo;MAGDALENA;31,25;140625;2023-02-12 08:11:42.350
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;17;76500;2023-02-12 08:12:07.960
MARIA AUXILIADORA;Activo;ATLANTICO;71,5;321750;2023-02-12 08:23:16.177
UNIMAGDALENA;Activo;MAGDALENA;6,5;29250;2023-02-12 08:31:22.140
PANDO;Inactivo;MAGDALENA;0,25;1125;2023-02-12 08:50:14.767
CIUDADELA;Activo;MAGDALENA;10,5;47250;2023-02-12 09:10:39.627
DON LEON;Activo;ATLANTICO;80,25;361125;2023-02-12 09:19:39.957
MANZANARES;Activo;MAGDALENA;8;36000;2023-02-12 09:32:53.447
3K;Activo;ATLANTICO;93,5;420750;2023-02-12 10:22:35.167
ALTOS PLAN PAREJO;Activo;BOLIVAR;54,5;245250;2023-02-12 10:26:54.390
YUCAL;Activo;MAGDALENA;9;40500;2023-02-12 10:28:53.873
PLAN PAREJO;Inactivo;BOLIVAR;15;67500;2023-02-12 10:36:25.627
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-12 10:47:35.267
GAIRA;Inactivo;MAGDALENA;0;0;2023-02-12 11:09:16.960
GRANJA;Activo;BOLIVAR;201,75;907875;2023-02-12 11:20:28.947
EL REY;Activo;ATLANTICO;80;360000;2023-02-12 12:09:09.257
PUERTO COLOMBIA;Activo;ATLANTICO;50,5;227250;2023-02-12 13:12:00.457
TURBACO;Activo;BOLIVAR;43,5;195750;2023-02-12 14:00:02.430
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;35;157500;2023-02-12 14:01:40.610
ZONA FRANCA CARTAGENA 2;Activo;BOLIVAR;134;603000;2023-02-12 14:07:23.107
CRUZ;Activo;BOLIVAR;58,75;264375;2023-02-12 14:13:48.037
DON ROBERTO;Activo;ATLANTICO;130;585000;2023-02-12 15:27:44.650
PORVENIR;Activo;ATLANTICO;76;342000;2023-02-12 15:58:50.597
ZONA FRANCA BARRANQUILLA 2;Activo;ATLANTICO;63;315000;2023-02-12 16:18:39.393
BOKOBA;Inactivo;ATLANTICO;2,75;12375;2023-02-13 06:32:23.123
JARDIN;Activo;MAGDALENA;43,25;194625;2023-02-13 07:12:40.637
GALICIA;Activo;MAGDALENA;15,25;68625;2023-02-13 07:24:09.540
MARIA AUXILIADORA;Activo;ATLANTICO;87,75;394875;2023-02-13 07:47:17.917
EDS EL RIO;Activo;MAGDALENA;10;45000;2023-02-13 07:48:51.300
PESCAITO;Inactivo;MAGDALENA;13;58500;2023-02-13 08:30:02.523
3K;Activo;ATLANTICO;88,25;397125;2023-02-13 08:39:55.030
FERROCARRIL;Activo;MAGDALENA;6;27000;2023-02-13 08:51:41.850
ALCAZARES;Inactivo;MAGDALENA;3,5;15750;2023-02-13 09:36:24.797
CRUZ;Activo;BOLIVAR;29,25;131625;2023-02-13 09:45:23.290
MANZANARES;Activo;MAGDALENA;4;18000;2023-02-13 09:47:08.103
EL REY;Activo;ATLANTICO;41;184500;2023-02-13 09:51:09.763
PLAN PAREJO;Inactivo;BOLIVAR;1;4500;2023-02-13 10:00:52.497
PANDO;Inactivo;MAGDALENA;1;4500;2023-02-13 10:01:33.173
CIUDADELA;Activo;MAGDALENA;4;18000;2023-02-13 10:06:54.660
UNIMAGDALENA;Activo;MAGDALENA;14;63000;2023-02-13 10:12:57.100
DON LEON;Activo;ATLANTICO;72,25;325125;2023-02-13 10:44:27.143
YUCAL;Activo;MAGDALENA;8;36000;2023-02-13 10:52:21.800
CIUDAD DEL SOL;Inactivo;MAGDALENA;0;0;2023-02-13 11:14:11.873
